id,links
F1,UC1
F2,"UC4,UC6"
F3,UC4
F4,UC4
F5,UC4
F6,"UC17,UC42"
F7,UC42
F8,UC42
F9,UC4
F10,UC4
F11,UC4
F12,"UC17,UC29"
F13,"UC2,UC15,UC16,UC17"
F14,
F15,UC29
F16,
F17,
F18,UC24
F19,UC42
F20,UC27
F21,UC25
F22,
F23,UC27
F24,"UC7,UC8"
F25,"UC2,UC18,UC19"
F26,"UC7,UC25,UC29"
F27,UC19
F28,UC2
F29,UC16
F30,UC15
F31,UC16
F32,UC24
F33,UC35
F34,UC35
F35,UC36
F36,UC42
F37,UC24
F38,
F39,UC42
F40,
F41,UC36
F42,"UC8,UC25"
F43,
F44,"UC36,UC40,UC42"
F45,"UC1,UC35"
F46,
F47,UC29
F48,UC17
F49,UC42
